family,order,fidel,english_sound_guide,audio_asset
32,5,ፌ,Feh,assets/sounds/fidel_134c.m4a
32,6,ፍ,Fih,assets/sounds/fidel_134d.m4a
32,7,ፎ,Foh,assets/sounds/fidel_134e.m4a
33,1,ፐ,Puh,assets/sounds/fidel_1350.m4a
33,2,ፑ,Poo,assets/sounds/fidel_1351.m4a
33,3,ፒ,Pee,assets/sounds/fidel_1352.m4a
33,4,ፓ,Pah,assets/sounds/fidel_1353.m4a
33,5,ፔ,Peh,assets/sounds/fidel_1354.m4a
33,6,ፕ,Pih,assets/sounds/fidel_1355.m4a
33,7,ፖ,Poh,assets/sounds/fidel_1356.m4a
